id_measures,Name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
165,Hamilton_Piedmont,0.32,-0.24,0.02,0.07,0.0,0.0,0.0,0.04,0.01,-0.05,-0.02,-0.02,0.04,0.0,0.0,-0.02,0.0,0.0,0.0,0.0,0.0,0.0
75,HarbordGlacier,0.15,-0.11,0.04,0.1,-0.02,0.03,0.0,0.02,0.12,-0.15,0.02,-0.11,0.02,0.02,0.03,-0.66,-0.22,-0.14,0.07,0.0,0.1,0.0
168,Harmon_Bay,0.36,0.04,0.2,0.18,-0.47,0.15,-0.08,0.16,0.61,-0.78,0.09,-0.62,0.19,0.21,0.13,-1.27,0.0,0.01,0.0,0.01,0.0,0.0
178,Hayes_Coats_Coast,-1.14,-1.96,0.38,0.43,0.29,-0.24,0.37,0.16,-1.06,-1.1,0.31,0.57,0.12,0.46,0.01,-0.77,0.05,0.03,0.04,0.06,0.12,0.0
101,Helen,17.69,-2.38,-5.77,0.76,-6.28,5.48,3.15,1.44,12.03,-2.55,1.35,-10.79,1.27,0.65,2.54,-4.11,0.97,0.54,0.25,0.15,0.19,-0.01
156,Holmes,26.14,-26.58,5.04,2.77,0.02,0.35,0.19,0.17,0.05,-0.59,0.27,0.22,0.02,0.01,-0.74,25.96,27.47,-0.37,-18.23,0.64,3.21,-39.56
166,Holt,1.7,-0.45,0.21,0.04,-1.21,0.81,0.32,0.07,-3.44,-0.98,-0.06,0.39,0.12,0.49,0.46,-1.44,0.01,0.0,0.0,0.0,0.0,0.0
146,HornBluff,0.44,0.54,0.73,0.65,-0.01,0.76,0.64,0.41,1.08,0.66,0.14,-0.22,0.38,0.39,0.22,-7.92,0.04,0.02,0.03,0.03,0.04,0.01
19,Hoseason,0.41,-0.7,0.02,0.04,-0.99,0.27,0.28,0.13,0.04,-0.72,0.28,0.25,0.13,-0.98,0.25,-0.04,0.56,-0.68,-0.01,-0.01,0.0,0.0
22,Hovde,3.33,-1.82,0.72,0.21,-2.51,-2.45,0.36,-0.06,1.7,-1.62,-0.94,-0.06,0.07,-0.35,1.28,-2.83,0.17,0.3,0.15,0.03,0.0,0.0
62,Hull,2.76,-15.21,0.32,0.31,-3.05,2.9,-2.43,0.08,5.27,-5.62,3.64,0.61,-1.7,-1.32,0.05,3.14,3.85,-6.86,0.37,0.12,0.11,0.03
167,Hummer_Point,0.58,-0.33,0.06,0.07,-0.07,0.06,0.12,0.06,0.08,-0.31,-0.18,-0.08,0.1,0.07,0.1,-0.34,0.0,0.0,0.0,0.0,0.0,0.0
135,Ironside,-0.1,0.84,0.01,-0.01,-0.07,0.19,-0.21,-0.05,0.13,-0.01,-0.06,-0.02,-0.03,0.01,0.01,-0.58,0.03,0.03,0.02,0.05,0.0,-0.02
4,Jackson,2.95,0.29,0.88,0.75,-0.32,-0.69,0.03,0.06,1.45,-0.73,-1.38,0.07,0.38,0.61,0.26,-1.4,-0.1,0.0,0.0,0.03,0.03,0.0
125,Jelbart,11.53,4.46,12.68,11.08,-0.47,8.7,7.25,7.79,11.76,-1.34,7.14,9.2,12.76,10.94,9.02,5.13,5.05,4.41,3.0,10.84,9.74,4.8
137,Kirkby,0.11,0.05,0.1,0.11,-0.03,0.15,0.06,0.06,0.33,-0.39,0.14,0.1,0.08,0.05,-0.21,-0.25,0.15,0.12,0.15,0.12,-0.27,-0.04
63,Land,0.95,-163.75,1.75,1.68,-2.72,4.3,1.64,1.42,11.19,-4.09,7.51,10.51,7.56,7.23,5.65,5.07,1.75,0.74,1.12,1.04,0.77,-0.27
154,LarsenA,-90.33,-2.01,-155.73,0.3,-4.59,-10.41,-4.62,-0.87,0.47,-3.31,0.34,-0.23,0.11,0.44,-15.98,-0.11,1.54,-0.43,0.43,0.21,0.2,-0.14
51,LarsenB,-145.64,0.54,-262.38,-0.75,-8.82,2.35,-127.57,0.07,-23.92,-11.07,5.82,3.28,7.83,5.38,4.06,-0.01,0.58,-1.34,5.54,5.43,7.14,6.52
8,LarsenC,69.91,-21.23,27.07,18.74,-5.19,-293.83,15.95,33.8,49.74,1.32,2.91,31.31,34.61,43.87,5.27,32.61,28.77,33.5,-1285.42,7.25,-11.21,15.54
6,LarsenD,10.52,-0.42,5.22,4.86,-0.99,4.8,3.76,3.91,5.43,1.85,4.36,3.83,2.97,3.44,-0.66,6.26,9.04,5.92,5.8,5.52,5.28,-97.03
5,LarsenD_1,0.29,0.12,0.15,0.01,-0.28,0.21,0.15,0.17,0.3,0.12,0.2,0.12,0.18,0.18,0.22,0.23,0.23,0.22,0.22,0.22,0.22,-2.03
161,LarsenE,-51.37,1.06,2.01,2.19,0.66,2.17,1.9,1.38,3.25,0.71,1.95,1.63,1.23,2.33,-1.36,1.18,0.77,0.53,0.34,0.16,0.12,0.02
7,LarsenF,-13.05,0.68,1.14,1.09,0.17,1.09,0.91,0.93,1.19,0.64,0.84,0.66,0.64,0.63,-1.07,-0.99,0.43,0.32,0.33,0.16,0.04,0.03
33,LarsenG,1.77,0.26,0.77,0.71,-0.29,0.36,-1.48,2.82,-3.12,-1.35,0.99,0.67,0.7,0.57,-0.45,0.27,0.33,0.28,0.25,0.16,0.15,-0.03
112,Lauritzen,1.67,-2.67,2.13,2.04,-1.27,2.25,1.55,1.3,2.97,-1.44,-1.0,-1.59,-5.53,1.39,1.62,-3.46,0.04,0.04,0.1,0.15,0.08,0.0
120,Lazarev,6.91,1.19,3.84,3.3,-2.16,2.88,3.69,3.73,3.95,1.03,3.68,3.54,3.63,3.69,2.6,2.19,1.9,1.77,1.58,-2.06,1.05,0.06
