id_measures,Name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
71,Ross_East,91.78,0,29.75,0,0,44.53,41.19,33.9,72.32,25.69,36.18,52.38,43.51,42.42,37.94,47.62,35.88,47.47,42.95,36.89,48.48,38.67
70,Ross_West,0,39.94,117.34,108.99,3.22,79.34,99.38,69.23,189.16,38.36,83.42,127.27,86.63,116.89,91.74,104.55,95.4,117.55,96.82,113.44,107.86,81.48
20,Rund_Bay,0,0,0.19,0.23,0,0.25,0,0,0,0.01,0.01,0,0,0.01,0.11,0.07,0.04,0,0.07,0.04,0.06,0.04
180,Rydberg_Peninsula_1,0,0,0,0.04,0,0,0,0,0.02,0,0,0,0,0.01,0,0,0,0,0,0,0,0
181,Rydberg_Peninsula_2,0.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0
150,Sandford,2.52,0.84,1.3,1.07,0,0.4,0.85,0,1.26,0,1.0,0.66,0.52,0.4,0,0,0.81,0,0.06,0,0,0
100,Shackleton,69.88,0,0,31.34,4.38,28.16,20.74,30.47,41.62,0,0,35.18,21.83,24.57,6.55,41.57,32.62,22.79,22.55,29.13,27.99,0
10,Shirase,4.37,0,7.68,4.91,0.6,3.69,1.0,1.12,1.84,0.68,2.43,1.98,2.94,3.89,3.09,0,4.31,3.66,0,0.28,0.31,0
11,Skallen,0.65,0,0.01,0.04,0.05,0,0,0.02,0.06,0.02,0,0,0.02,0.06,0.02,0,0,0,0,0.04,0,0
89,Slava,0,1.59,3.51,3.36,0.68,2.94,1.28,0.62,0.31,0,2.88,1.33,1.52,2.78,3.2,1.59,2.56,2.31,2.47,2.48,0,0
30,SmithInlet,0,0,0.03,0.01,0,0.01,0,0,0.01,0,0,0,0,0,0,0.02,0.01,0.01,0,0,0,0
103,Sorsdal,2.13,0,0.66,0.65,0,0,0.52,0,0.98,0,0,0.13,0.11,0.19,0.34,0,0,0.21,0.18,0.11,0.05,0
52,Stange,5.64,0.26,0,2.8,0,4.92,0,5.48,11.73,0,0,0,0,0,0,0,0.72,0.29,0.19,0.01,0.08,0
65,Sulzberger,0.66,0,0.7,0.82,0,0.76,0.27,0.26,0.35,0,0.72,0,0.16,0.08,0,0.88,1.73,0,0.16,0.23,0.03,0
131,Suter,0,0,0,0,0,0,0,0.03,0,0,0,0,0.01,0,0,0,0.08,0.01,0.03,0.01,0.04,0
163,Suvorov,0,1.44,0.77,0.55,0,0.26,0.21,0.22,0.49,0,0,0.33,0.29,0.27,0,0,0.27,0.35,0.16,0.21,0,0
66,Swinburne,2.5,0,1.03,1.15,0,1.04,0.71,0.55,0.94,0,0,0,0.08,0.27,0,0.16,0.93,0,0.11,0.11,0.07,0.02
9,Telen,0,0,0.1,0.02,0,0,0.04,0,0,0.03,0,0.04,0,0,0,0,0,0.01,0.01,0.05,0,0
175,Thomson,0,0,0.26,0.23,0.06,0,0.01,0.08,0.17,0,0,0,0,0.03,0,0,0,0.01,0.05,0.07,0.06,0
56,Thwaites,0.39,41.1,0,0.59,0,67.38,51.92,43.54,52.74,19.63,0,0,0,0,0,0,0,0,0,0,2.83,0
79,Tinker,0.06,0.01,0.03,0.03,0,0,0,0.02,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0
98,Totten,11.92,1.79,17.77,12.62,0,3.84,0,0,38.59,0,9.13,0,4.35,0,0.36,28.97,0,7.66,0,4.18,0,0
24,Tracy_Tremenchus,0,0,0,0.03,0,0.03,0,0.07,0,0,0.04,0.16,0,0,0,0,0.24,0.21,0.17,0.11,0,0
84,Tucker,0.25,0,0.12,0.13,0,0.13,0,0.04,0.16,0,0.17,0.16,0.12,0,0.07,0,0.34,0.01,0.01,0,0,0
25,Underwood,6.53,2.23,6.1,3.19,0,2.59,0,0.07,0.43,0,0.22,0,1.27,3.34,2.8,6.9,5.15,4.62,3.41,3.03,0,0
116,Utsikkar,0.23,0,0.3,0.35,0,0.33,0.26,0.17,0.23,0,0.23,0.2,0.16,0,0.17,0.31,0.48,0.18,0,0.04,0.09,0
53,Venable,21.92,0,0,2.82,0,0.78,3.47,3.29,5.02,0,0,0,0,0,0,0,0.54,0.09,0.13,0.13,0.19,0
47,Verdi,0,0,0.79,0.98,0,0,0.43,0.23,0,0,0,0,0,0.09,0,0,0.15,0.04,0.01,0.08,0.1,0
123,Vigrid,3.44,0,1.86,1.68,0,0.44,0,0,8.52,0,2.41,2.53,2.61,1.96,0.51,0,0.09,0.09,0.07,0.06,0.01,0
159,Vincennes_Bay,16.03,1.97,6.81,3.76,0,1.71,0,1.88,3.59,0,0,0,0.63,6.13,3.51,0,1.07,0.77,0,0.18,0.11,0
97,Voyeykov,0,0,0.24,0.11,0,0,0,0,0,0,0,0,0,0,0,3.11,3.02,0,1.28,0.75,0.04,0
164,Walgreen_Coast_1,1.29,0.31,0.71,0.84,0.15,0.51,0.59,0.6,0.35,0,0,0.39,0.14,0.54,0.6,0,0,0,0,0,0.03,0
